FlightPassengerCount,Place,Time
327.8,E3,2016-09-10 08:00:00
0.0,,2016-09-10 08:10:00
0.0,,2016-09-10 08:20:00
0.0,,2016-09-10 08:30:00
0.0,,2016-09-10 08:40:00
0.0,,2016-09-10 08:50:00
0.0,,2016-09-10 09:00:00
0.0,,2016-09-10 09:10:00
0.0,,2016-09-10 09:20:00
0.0,,2016-09-10 09:30:00
0.0,,2016-09-10 09:40:00
0.0,,2016-09-10 09:50:00
0.0,,2016-09-10 10:00:00
0.0,,2016-09-10 10:10:00
0.0,,2016-09-10 10:20:00
0.0,,2016-09-10 10:30:00
0.0,,2016-09-10 10:40:00
0.0,,2016-09-10 10:50:00
0.0,,2016-09-10 11:00:00
0.0,,2016-09-10 11:10:00
0.0,,2016-09-10 11:20:00
0.0,,2016-09-10 11:30:00
0.0,,2016-09-10 11:40:00
0.0,,2016-09-10 11:50:00
0.0,,2016-09-10 12:00:00
0.0,,2016-09-10 12:10:00
0.0,,2016-09-10 12:20:00
0.0,,2016-09-10 12:30:00
0.0,,2016-09-10 12:40:00
0.0,,2016-09-10 12:50:00
0.0,,2016-09-10 13:00:00
0.0,,2016-09-10 13:10:00
0.0,,2016-09-10 13:20:00
0.0,,2016-09-10 13:30:00
0.0,,2016-09-10 13:40:00
0.0,,2016-09-10 13:50:00
0.0,,2016-09-10 14:00:00
0.0,,2016-09-10 14:10:00
0.0,,2016-09-10 14:20:00
0.0,,2016-09-10 14:30:00
0.0,,2016-09-10 14:40:00
0.0,,2016-09-10 14:50:00
0.0,,2016-09-10 15:00:00
0.0,,2016-09-10 15:10:00
0.0,,2016-09-10 15:20:00
0.0,,2016-09-10 15:30:00
0.0,,2016-09-10 15:40:00
0.0,,2016-09-10 15:50:00
0.0,,2016-09-10 16:00:00
0.0,,2016-09-10 16:10:00
0.0,,2016-09-10 16:20:00
0.0,,2016-09-10 16:30:00
0.0,,2016-09-10 16:40:00
0.0,,2016-09-10 16:50:00
0.0,,2016-09-10 17:00:00
0.0,,2016-09-10 17:10:00
0.0,,2016-09-10 17:20:00
0.0,,2016-09-10 17:30:00
0.0,,2016-09-10 17:40:00
0.0,,2016-09-10 17:50:00
0.0,,2016-09-10 18:00:00
0.0,,2016-09-10 18:10:00
0.0,,2016-09-10 18:20:00
259.681818182,E3,2016-09-10 18:30:00
0.0,,2016-09-10 18:40:00
0.0,,2016-09-10 18:50:00
281.684210526,W3,2016-09-10 19:00:00
314.473684211,W2,2016-09-10 19:10:00
0.0,,2016-09-10 19:20:00
238.529411765,W2,2016-09-10 19:30:00
266.095238095,E3,2016-09-10 19:40:00
102.0,W3,2016-09-10 19:40:00
328.25,E3,2016-09-10 19:50:00
84.2,W3,2016-09-10 20:00:00
0.0,,2016-09-10 20:10:00
429.455555556,W3,2016-09-10 20:20:00
0.0,,2016-09-10 20:30:00
0.0,,2016-09-10 20:40:00
0.0,,2016-09-10 20:50:00
0.0,,2016-09-10 21:00:00
230.166666667,E3,2016-09-10 21:10:00
429.176470588,E3,2016-09-10 21:20:00
125.823529412,W3,2016-09-10 21:20:00
318.3125,E3,2016-09-10 21:30:00
123.944444444,W3,2016-09-10 21:40:00
381.640909091,W2,2016-09-10 21:50:00
274.944444444,W2,2016-09-10 22:00:00
440.014492754,W3,2016-09-10 22:00:00
0.0,,2016-09-10 22:10:00
0.0,,2016-09-10 22:20:00
174.411764706,W3,2016-09-10 22:30:00
0.0,,2016-09-10 22:40:00
0.0,,2016-09-10 22:50:00
0.0,,2016-09-10 23:00:00
322.866666667,W1,2016-09-10 23:10:00
171.571428571,W3,2016-09-10 23:10:00
228.888888889,W3,2016-09-10 23:20:00
163.2,W3,2016-09-10 23:30:00
100.0,NoInfo,2016-09-10 23:40:00
147.933333333,W3,2016-09-10 23:50:00
435.901785714,E1,2016-09-11 00:00:00
139.0,W3,2016-09-11 00:00:00
295.333333333,E1,2016-09-11 00:10:00
100.0,E1,2016-09-11 00:20:00
200.0,NoInfo,2016-09-11 00:20:00
289.466666667,E2,2016-09-11 00:30:00
385.588235294,E1,2016-09-11 00:40:00
0.0,,2016-09-11 00:50:00
306.714285714,E1,2016-09-11 01:00:00
100.0,E2,2016-09-11 01:00:00
0.0,,2016-09-11 01:10:00
100.0,E1,2016-09-11 01:20:00
200.0,E1,2016-09-11 01:30:00
100.0,NoInfo,2016-09-11 01:30:00
0.0,,2016-09-11 01:40:00
392.6,E1,2016-09-11 01:50:00
0.0,,2016-09-11 02:00:00
0.0,,2016-09-11 02:10:00
0.0,,2016-09-11 02:20:00
0.0,,2016-09-11 02:30:00
200.0,NoInfo,2016-09-11 02:40:00
138.888888889,E1,2016-09-11 02:50:00
100.0,E1,2016-09-11 03:00:00
100.0,NoInfo,2016-09-11 03:00:00
100.0,E1,2016-09-11 03:10:00
172.666666667,E1,2016-09-11 03:20:00
0.0,,2016-09-11 03:30:00
0.0,,2016-09-11 03:40:00
100.0,E1,2016-09-11 03:50:00
0.0,,2016-09-11 04:00:00
269.2,E1,2016-09-11 04:10:00
100.0,NoInfo,2016-09-11 04:10:00
0.0,,2016-09-11 04:20:00
0.0,,2016-09-11 04:30:00
0.0,,2016-09-11 04:40:00
0.0,,2016-09-11 04:50:00
0.0,,2016-09-11 05:00:00
0.0,,2016-09-11 05:10:00
0.0,,2016-09-11 05:20:00
0.0,,2016-09-11 05:30:00
100.0,NoInfo,2016-09-11 05:40:00
0.0,,2016-09-11 05:50:00
100.0,E1,2016-09-11 06:00:00
179.333333333,W3,2016-09-11 06:10:00
497.833333333,W3,2016-09-11 06:20:00
413.5625,E3,2016-09-11 06:30:00
100.0,NoInfo,2016-09-11 06:30:00
325.433333333,W3,2016-09-11 06:30:00
200.0,NoInfo,2016-09-11 06:40:00
196.566666667,W2,2016-09-11 06:40:00
509.666666667,W3,2016-09-11 06:40:00
554.696428571,E3,2016-09-11 06:50:00
580.8125,W1,2016-09-11 06:50:00
541.155462185,W3,2016-09-11 06:50:00
767.819607843,E3,2016-09-11 07:00:00
100.0,NoInfo,2016-09-11 07:00:00
288.266666667,W1,2016-09-11 07:00:00
314.554166667,W3,2016-09-11 07:00:00
634.608333333,E3,2016-09-11 07:10:00
1301.44534413,W2,2016-09-11 07:10:00
350.09047619,W3,2016-09-11 07:10:00
662.466666667,E3,2016-09-11 07:20:00
484.0625,W2,2016-09-11 07:20:00
272.8125,W3,2016-09-11 07:20:00
447.9,E3,2016-09-11 07:30:00
571.35,W1,2016-09-11 07:30:00
122.0,W2,2016-09-11 07:30:00
717.6875,W3,2016-09-11 07:30:00
120.4,E1,2016-09-11 07:40:00
474.866666667,E3,2016-09-11 07:40:00
684.805882353,W1,2016-09-11 07:40:00
559.804166667,W3,2016-09-11 07:40:00
415.583333333,W1,2016-09-11 07:50:00
443.714285714,W2,2016-09-11 07:50:00
906.463398693,W3,2016-09-11 07:50:00
509.3625,E3,2016-09-11 08:00:00
132.0,W1,2016-09-11 08:00:00
323.714285714,W2,2016-09-11 08:00:00
563.651785714,W3,2016-09-11 08:00:00
499.8125,E3,2016-09-11 08:10:00
995.529605263,W1,2016-09-11 08:10:00
1299.9125,W2,2016-09-11 08:10:00
595.348214286,W3,2016-09-11 08:10:00
96.0,E1,2016-09-11 08:20:00
321.75,W1,2016-09-11 08:20:00
1308.72380952,W2,2016-09-11 08:20:00
683.775,W3,2016-09-11 08:20:00
615.754166667,E1,2016-09-11 08:30:00
760.543859649,W1,2016-09-11 08:30:00
298.058823529,W2,2016-09-11 08:30:00
1210.6025641,W3,2016-09-11 08:30:00
406.993055556,E1,2016-09-11 08:40:00
195.4,E2,2016-09-11 08:40:00
462.25,E3,2016-09-11 08:40:00
511.2,W1,2016-09-11 08:40:00
530.2,W3,2016-09-11 08:40:00
428.555555556,E1,2016-09-11 08:50:00
117.866666667,E2,2016-09-11 08:50:00
189.0,E3,2016-09-11 08:50:00
287.0,W2,2016-09-11 08:50:00
531.333333333,W3,2016-09-11 08:50:00
220.466666667,E2,2016-09-11 09:00:00
1009.3125,E3,2016-09-11 09:00:00
300.555555556,W1,2016-09-11 09:00:00
266.941176471,W3,2016-09-11 09:00:00
574.631372549,E1,2016-09-11 09:10:00
1113.475,E3,2016-09-11 09:10:00
100.0,NoInfo,2016-09-11 09:10:00
99.0666666667,W2,2016-09-11 09:10:00
766.285714286,W3,2016-09-11 09:10:00
300.0,E1,2016-09-11 09:20:00
352.333333333,E3,2016-09-11 09:20:00
639.892857143,W1,2016-09-11 09:20:00
439.823529412,W2,2016-09-11 09:20:00
192.902777778,W3,2016-09-11 09:20:00
253.333333333,E1,2016-09-11 09:30:00
665.4,E3,2016-09-11 09:30:00
410.222222222,W1,2016-09-11 09:30:00
648.951388889,W2,2016-09-11 09:30:00
140.5,W3,2016-09-11 09:30:00
191.2,E1,2016-09-11 09:40:00
455.153846154,W3,2016-09-11 09:40:00
77.2666666667,E1,2016-09-11 09:50:00
332.5,E3,2016-09-11 09:50:00
555.375757576,W2,2016-09-11 09:50:00
180.228571429,W3,2016-09-11 09:50:00
200.0,E2,2016-09-11 10:00:00
312.176470588,E3,2016-09-11 10:00:00
289.0,W1,2016-09-11 10:00:00
167.307692308,W3,2016-09-11 10:00:00
387.038461538,W1,2016-09-11 10:10:00
686.733552632,W3,2016-09-11 10:10:00
122.058823529,W1,2016-09-11 10:20:00
959.118506494,W2,2016-09-11 10:20:00
463.488888889,W3,2016-09-11 10:20:00
100.0,E1,2016-09-11 10:30:00
546.860119048,W1,2016-09-11 10:30:00
512.5625,W2,2016-09-11 10:30:00
872.825,W3,2016-09-11 10:30:00
407.777777778,E3,2016-09-11 10:40:00
327.866666667,W1,2016-09-11 10:40:00
325.333333333,W2,2016-09-11 10:40:00
375.641666667,W3,2016-09-11 10:40:00
100.0,E1,2016-09-11 10:50:00
708.8,E3,2016-09-11 10:50:00
957.148611111,W1,2016-09-11 10:50:00
172.0,W3,2016-09-11 10:50:00
135.625,E1,2016-09-11 11:00:00
1001.40833333,E3,2016-09-11 11:00:00
360.358333333,W3,2016-09-11 11:00:00
352.842105263,W1,2016-09-11 11:10:00
100.0,E1,2016-09-11 11:20:00
318.75,W1,2016-09-11 11:20:00
137.444444444,W2,2016-09-11 11:20:00
495.983333333,W3,2016-09-11 11:20:00
119.0625,E2,2016-09-11 11:30:00
757.258823529,W2,2016-09-11 11:30:00
865.029166667,W3,2016-09-11 11:30:00
322.133333333,E1,2016-09-11 11:40:00
582.466666667,E3,2016-09-11 11:40:00
271.866666667,W3,2016-09-11 11:40:00
358.375,NoInfo,2016-09-11 11:50:00
534.726388889,W1,2016-09-11 11:50:00
251.533333333,W3,2016-09-11 11:50:00
328.4375,E3,2016-09-11 12:00:00
859.254166667,W2,2016-09-11 12:00:00
416.4625,W3,2016-09-11 12:00:00
267.25,E2,2016-09-11 12:10:00
246.533333333,E3,2016-09-11 12:10:00
470.1,W1,2016-09-11 12:10:00
615.00952381,W2,2016-09-11 12:10:00
434.466666667,W3,2016-09-11 12:10:00
541.982142857,E3,2016-09-11 12:20:00
204.421052632,W1,2016-09-11 12:20:00
466.105263158,W2,2016-09-11 12:20:00
246.266666667,W3,2016-09-11 12:20:00
100.0,E2,2016-09-11 12:30:00
976.591675267,W2,2016-09-11 12:30:00
677.777777778,W3,2016-09-11 12:30:00
329.5625,E1,2016-09-11 12:40:00
543.129411765,E3,2016-09-11 12:40:00
102.25,W1,2016-09-11 12:40:00
506.8375,W3,2016-09-11 12:40:00
620.866666667,E1,2016-09-11 12:50:00
178.588235294,E3,2016-09-11 12:50:00
303.05,W1,2016-09-11 12:50:00
277.142857143,W2,2016-09-11 12:50:00
254.428571429,E3,2016-09-11 13:00:00
70.0,NoInfo,2016-09-11 13:00:00
